,flight_number,origin,dest
0,9E 5076,LGA,ORF
1,DL 2955,JFK,SEA
2,YX 4645,LGA,CMH
3,MQ 3513,LGA,ORF
4,AA 294,ORD,LGA
5,B6 1273,JFK,CHS
6,NK 922,LGA,DTW
7,DL 2934,ATL,EWR
8,B6 1043,EWR,PBI
9,9E 3437,JFK,PWM
10,9E 3403,LGA,ORF
11,UA 2394,EWR,LAX
12,DL 955,LGA,DTW
13,DL 2181,LGA,MCO
14,YX 3454,EWR,MSY
15,AA 118,LAX,JFK
16,9E 3497,JFK,RDU
17,9E 3367,MCI,LGA
18,AA 2036,LGA,CLT
19,DL 1842,LGA,ATL
20,DL 1709,LGA,ORD
21,9E 3484,MSN,LGA
22,DL 2058,MCO,JFK
23,DL 1492,MSY,LGA
24,AA 164,SFO,JFK
25,B6 98,DEN,JFK
26,UA 334,DFW,EWR
27,AA 2435,LGA,ORD
28,B6 2802,JFK,BUF
29,UA 2094,IAH,LGA
30,9E 3422,JFK,DCA
31,UA 513,DEN,EWR
32,UA 1519,IAD,EWR
33,DL 2923,CLT,JFK
34,B6 507,PWM,JFK
35,AA 1791,LGA,PHL
36,DL 1876,LAX,JFK
37,UA 609,ORD,EWR
38,UA 2328,EWR,MSY
39,AS 991,JFK,LAX
40,DL 2486,LGA,ORD
41,DL 2568,ATL,LGA
42,UA 746,EWR,IAD
43,DL 2465,JFK,MIA
44,B6 2028,MCO,EWR
45,MQ 3836,IND,LGA
46,AS 556,LAX,EWR
47,YX 5913,BOS,LGA
48,OO 3769,OMA,LGA
49,B6 1438,JFK,MVY
50,C5 4986,SAV,EWR
51,9E 5127,JFK,ORD
52,OO 3570,LGA,SDF
53,UA 690,ATL,EWR
54,DL 1686,JFK,FLL
55,YX 4324,LGA,DCA
56,9E 5188,DCA,JFK
57,B6 1041,JFK,SAV
58,AA 360,MIA,LGA
59,AA 2194,DFW,JFK
60,DL 1578,JFK,LAS
61,UA 1551,BOS,EWR
62,MQ 3335,GSO,LGA
63,YX 4417,LGA,ILM
64,AS 773,EWR,SAN
65,UA 519,LGA,ORD
66,EV 4092,CAK,EWR
67,B6 80,RNO,JFK
68,B6 282,HOU,JFK
69,EV 4267,EWR,SYR
70,9E 3342,ROC,LGA
71,9E 4807,LGA,CVG
72,UA 415,LAX,EWR
73,MQ 4093,CMH,LGA
74,B6 644,PBI,EWR
75,9E 3353,BWI,JFK
76,DL 1891,LAX,JFK
77,YX 6091,DCA,LGA
78,EV 4331,SYR,EWR
79,OO 3896,LGA,GSO
80,B6 745,JFK,PSE
81,AA 2226,DFW,LGA
82,UA 833,LGA,IAH
83,YX 4563,MIA,LGA
84,UA 2078,LGA,IAH
85,YX 3424,EWR,MSP
86,AA 1424,MCO,JFK
87,DL 2164,LAX,JFK
88,B6 916,SFO,JFK
89,C5 5021,CMH,EWR
90,AS 345,EWR,SFO
91,AA 2580,JFK,CLT
92,9E 3470,JFK,ROC
93,YX 5888,LGA,CMH
94,EV 4054,GSO,EWR
95,C5 4948,CAK,EWR
96,YX 3655,CLT,EWR
97,OO 4043,JFK,BOS
98,AS 31,EWR,SEA
99,DL 2280,MSP,LGA
100,YX 6095,LGA,CMH
101,YX 3427,CLT,EWR
102,9E 3302,LGA,CVG
103,DL 1512,JFK,TPA
104,UA 2174,MCI,EWR
105,9E 3376,GSO,LGA
106,UA 1826,EWR,MCO
107,DL 2056,MSY,LGA
108,DL 737,ORD,LGA
109,9E 3324,LGA,TYS
110,YX 3724,SDF,EWR
111,9E 5232,LGA,PIT
112,UA 271,EWR,BNA
113,DL 2169,EWR,DTW
114,C5 4928,BTV,EWR
115,DL 1975,JFK,LAX
116,B6 2153,JFK,PBI
117,WN 1236,EWR,STL
118,AA 41,ORD,EWR
119,9E 3421,MCI,LGA
120,9E 5441,GRR,LGA
121,AA 2143,DCA,LGA
122,C5 4913,SAV,EWR
123,UA 1614,MIA,EWR
124,9E 5274,MSN,LGA
125,AA 247,JFK,LAX
126,OO 3595,ORD,JFK
127,WN 2530,ATL,LGA
128,UA 1076,RSW,EWR
129,YX 6114,SDF,LGA
130,YX 3593,MKE,EWR
131,UA 991,EWR,MCO
132,OO 3610,SAV,LGA
133,DL 106,MSP,JFK
134,9E 3434,SYR,JFK
135,EV 4300,RIC,EWR
136,9E 3485,CVG,LGA
137,YX 6065,BOS,LGA
138,DL 713,MSY,LGA
139,AS 1193,EWR,SFO
140,DL 2814,ATL,LGA
141,B6 286,JFK,ROC
142,AS 363,EWR,SFO
143,9E 3366,LGA,ORF
144,UA 247,LAX,EWR
145,UA 584,EWR,BUF
146,UA 2007,MSY,EWR
147,9E 5188,JFK,DCA
148,DL 2778,LGA,ATL
149,AA 1060,MIA,EWR
150,C5 4967,EWR,BUF
151,DL 3045,JFK,IAH
152,9E 3280,LGA,SAV
153,AS 1166,LAX,EWR
154,9E 3377,JFK,ROC
155,WN 2929,HOU,LGA
156,9E 3306,JFK,DFW
157,B6 971,LGA,FLL
158,YX 3509,MCI,EWR
159,B6 671,ORH,JFK
160,9E 5107,LGA,MHT
161,EV 4365,CLE,LGA
163,B6 670,SJC,JFK
164,YX 4708,LGA,BNA
165,DL 2912,LGA,FLL
166,EV 4097,MKE,EWR
167,C5 4894,BTV,EWR
168,DL 2413,EWR,ATL
169,YX 3527,DTW,EWR
170,B6 1106,ORD,JFK
171,YX 5943,LGA,DCA
172,AA 852,JFK,ORD
173,YX 3531,EWR,MSP
174,YV 6052,LGA,IAD
175,9E 5049,JFK,BTV
176,DL 2151,MIA,LGA
177,AA 1928,CLT,JFK
178,WN 2366,DEN,EWR
179,AA 1722,LGA,CLT
180,B6 1678,JAX,JFK
181,AA 2115,DCA,LGA
182,YX 6121,LGA,STL
183,DL 2093,JFK,MCO
184,G4 1348,CVG,EWR
185,UA 329,DEN,EWR
186,DL 537,JFK,PDX
187,DL 2212,ATL,EWR
188,YX 6089,LGA,SDF
189,DL 545,LGA,DFW
190,9E 5265,LGA,DSM
192,DL 2654,JFK,CHS
193,MQ 3740,LGA,IND
194,OH 5163,PIT,LGA
195,NK 150,MCO,EWR
196,C5 4889,EWR,IND
197,UA 538,EWR,MSY
198,C5 4934,BUF,EWR
199,YX 4461,ILM,LGA
200,DL 2371,JFK,LAS
201,OO 3537,LGA,BHM
202,UA 2140,ORD,LGA
203,B6 711,JFK,LAS
204,YV 6337,IAD,LGA
205,9E 3490,LGA,RDU
207,EV 3975,EWR,STL
208,DL 2299,LGA,ATL
209,9E 5108,LGA,BNA
210,DL 2190,MIA,JFK
211,EV 4133,ROC,EWR
212,YX 3670,EWR,PIT
213,DL 1428,FLL,LGA
214,UA 2394,BOS,EWR
215,UA 2416,LGA,DEN
216,MQ 3634,ORF,LGA
217,DL 539,ATL,EWR
218,B6 643,EWR,PBI
219,UA 2224,LAX,EWR
220,YX 5954,CMH,LGA
221,MQ 3878,JFK,RDU
222,DL 2404,SJC,JFK
223,WN 5801,BNA,LGA
224,MQ 4137,LGA,CAE
225,NK 1529,EWR,FLL
226,DL 1191,JFK,SEA
227,B6 164,SRQ,JFK
228,C5 5007,GSO,EWR
229,UA 1543,EWR,SJU
230,UA 1978,EWR,SFO
231,UA 1827,EWR,SAN
232,YX 3404,EYW,EWR
233,EV 4035,MYR,EWR
234,AA 2925,ORD,LGA
235,YX 3421,EWR,IND
236,B6 1634,JFK,BTV
237,B6 803,JFK,SJU
238,B6 1161,LGA,PBI
239,YX 3570,DFW,EWR
240,UA 1584,EWR,SFO
241,OO 3619,JFK,PIT
242,YX 5913,MCI,LGA
243,B6 162,SMF,JFK
244,9E 5013,MSP,EWR
245,YX 4708,BNA,LGA
246,UA 400,EWR,BTV
248,WN 1662,HOU,LGA
249,WN 1597,BNA,LGA
250,UA 1992,EWR,IAD
251,DL 1131,FLL,LGA
252,YX 3574,EWR,MSN
253,9E 3346,LGA,STL
254,AA 276,SFO,JFK
255,OO 3820,CLE,JFK
256,C5 4966,RIC,EWR
257,DL 2142,EWR,ATL
258,B6 1901,BUF,JFK
259,AA 1639,CLT,LGA
260,DL 2655,FLL,JFK
261,DL 2452,EWR,ATL
263,DL 2967,DTW,LGA
264,DL 2448,ATL,EWR
265,9E 5309,ORF,LGA
266,YX 3732,EWR,JAX
267,AA 2163,BOS,LGA
268,DL 1469,MIA,LGA
269,MQ 4202,LGA,STL
270,UA 730,EWR,MCO
271,YX 3533,EWR,PIT
272,UA 1882,LAX,EWR
273,AA 388,JFK,CLT
274,AA 2434,PHX,JFK
275,B6 1274,CHS,JFK
276,DL 949,ATL,EWR
277,YX 5973,PIT,LGA
278,MQ 3688,CVG,LGA
279,YX 3759,EWR,IND
280,AA 2521,LGA,DFW
281,UA 1527,MIA,EWR
282,AA 1380,EWR,CLT
283,EV 3992,EWR,CLE
284,9E 3313,LGA,BHM
285,DL 465,STT,JFK
286,B6 16,SFO,JFK
287,YX 4451,DCA,JFK
288,B6 514,LGB,JFK
289,WN 1125,LGA,MKE
291,B6 1518,JFK,BOS
