column,dtype
dt,object
Air Safety - General Aviation Fatalities,int64
U.S. Airline Traffic - Total - Seasonally Adjusted,int64
U.S. Airline Traffic - International - Seasonally Adjusted,int64
U.S. Airline Traffic - Domestic - Seasonally Adjusted,float64
State and Local Government Construction Spending - Conservation and Development,int64
State and Local Government Construction Spending - Lighting,int64
State and Local Government Construction Spending - Power,int64
State and Local Government Construction Spending - Air Passenger Terminal,int64
State and Local Government Construction Spending - Air,int64
State and Local Government Construction Spending - Transportation,int64
State and Local Government Construction Spending - Other Public Safety,int64
State and Local Government Construction Spending - Infrastructure,int64
Highway Fuel Price - On-highway Diesel,float64
Highway Fuel Price - Regular Gasoline,float64
Transportation Employment - Air Transportation,int64
Personal Spending on Transportation - Transportation Services - Seasonally Adjusted,float64
Personal Spending on Transportation - Gasoline and Other Energy Goods - Seasonally Adjusted,float64
Personal Spending on Transportation - Motor Vehicles and Parts - Seasonally Adjusted,float64
Unemployment Rate - Seasonally Adjusted,float64
Labor Force Participation Rate - Seasonally Adjusted,float64
Unemployed - Seasonally Adjusted,int64
Real Gross Domestic Product - Seasonally Adjusted,float64
Transportation Services Index - Freight,float64
Transportation Services Index - Passenger,float64
Transportation Services Index - Combined,float64
Air Safety - Air Taxi and Commuter Fatalities,float64
Air Safety - Air Carrier Fatalities,float64
U.S. Air Carrier Cargo (millions of revenue ton-miles) - International,float64
U.S. Air Carrier Cargo (millions of revenue ton-miles) - Domestic,float64
U.S. Airline Traffic - Total - Non Seasonally Adjusted,float64
U.S. Airline Traffic - International - Non Seasonally Adjusted,float64
U.S. Airline Traffic - Domestic - Non Seasonally Adjusted,float64
U.S. marketing air carriers on-time performance (percent),float64
